"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1323","MadTown Robotics","1","86.7","2062","2039","21.8","55.2","9.8","1.02","0.77","N/A","N/A","N/A","52-1-0","0.981"
"2056","OP Robotics","2","81.6","2007","1995","18.5","55.2","7.9","1.03","0.6","N/A","N/A","N/A","61-8-0","0.884"
"254","The Cheesy Poofs","3","77.4","1960","1960","18.8","49.5","9.2","1","0.44","2023cc","Chezy Champs","9","36-5-0","0.878"
"5940","BREAD","4","75.1","1935","1940","20.7","45.6","8.9","0.8","0.58","2023cc","Chezy Champs","9","40-9-0","0.816"
"3005","RoboChargers","5","72.4","1905","1917","19.7","45.6","7.1","0.88","0.3","N/A","N/A","N/A","58-12-0","0.829"
"111","WildStang","6","71.1","1891","1906","19.7","42.5","8.9","0.69","0.58","N/A","N/A","N/A","38-5-1","0.875"
"3538","RoboJackets","7","70.7","1887","1903","15.1","44.5","11.2","0.65","0.79","2023cc","Chezy Champs","9","65-20-1","0.762"
"6036","Peninsula Robotics","8","70.1","1880","1897","16.5","45.7","7.9","0.94","0.35","2023cc","Chezy Champs","9","49-18-1","0.728"
"1678","Citrus Circuits","9","68","1857","1880","19.1","36.6","12.3","0.98","0.71","2023cc","Chezy Champs","9","62-7-1","0.893"
"930","Mukwonago BEARs","10","67.9","1856","1879","17.4","41","9.6","0.96","0.53","N/A","N/A","N/A","47-13-1","0.779"
"4414","HighTide","11","66.6","1842","1867","14.1","44.4","8.1","0.76","0.47","2023catt","Tidal Tumble","9","60-10-1","0.852"
"2468","Team Appreciate","12","66.3","1839","1865","21.6","37.1","7.7","0.8","0.6","N/A","N/A","N/A","53-9-3","0.838"
"4678","CyberCavs","13","65.8","1833","1860","19.5","39.5","6.8","0.68","0.39","N/A","N/A","N/A","46-8-0","0.852"
"133","B.E.R.T.","14","65.1","1826","1855","18.7","36","10.5","0.84","0.76","N/A","N/A","N/A","42-11-2","0.782"
"3476","Code Orange","15","65.1","1826","1855","15.8","41.8","7.6","0.58","0.34","2023cc","Chezy Champs","9","36-17-0","0.679"
